ID;IDS;IDP;CANT
275;1;275;5
276;1;276;12
277;1;277;14
278;1;278;9
279;1;279;1
280;1;280;2
281;1;281;16
282;1;282;6
283;1;283;3
284;1;284;18
285;1;285;0
286;1;286;18
287;1;287;0
288;1;288;19
289;1;289;16
290;1;290;7
291;1;291;6
292;1;292;3
293;1;293;0
294;1;294;6
295;1;295;9
296;1;296;4
297;1;297;1
298;1;298;19
299;1;299;1
300;1;300;9
301;1;301;2
302;1;302;14
303;1;303;11
304;1;304;2
305;1;305;20
306;1;306;12
307;1;307;11
308;1;308;6
309;1;309;2
310;1;310;10
311;1;311;13
312;1;312;1
313;1;313;0
314;1;314;9
315;1;315;2
316;1;316;20
317;1;317;16
318;1;318;18
319;1;319;20
320;1;320;15
321;1;321;13
322;1;322;3
323;1;323;15
324;1;324;15
325;1;325;14
326;1;326;11
327;1;327;10
328;1;328;3
329;1;329;18
330;1;330;3
331;1;331;19
332;1;332;13
333;1;333;19
334;1;334;12
335;1;335;10
336;1;336;18
337;1;337;17
338;1;338;7
339;1;339;14
340;1;340;18
341;1;341;13
342;1;342;11
343;1;343;14
344;1;344;12
345;1;345;13
346;1;346;3
347;1;347;1
348;1;348;0
349;1;349;15
350;1;350;17
351;1;351;17
352;1;352;0
353;1;353;9
354;1;354;18
355;1;355;17
356;1;356;6
357;1;357;4
358;1;358;12
359;1;359;0
360;1;360;3
361;1;361;18
362;1;362;14
363;1;363;1
364;1;364;8
365;1;365;16
366;1;366;17
367;1;367;6
368;1;368;9
369;1;369;19
370;1;370;14
371;1;371;16
372;1;372;20
373;1;373;4
374;1;374;3
375;1;375;9
376;1;376;9
377;1;377;9
378;1;378;16
379;1;379;14
380;1;380;11
381;1;381;14
382;1;382;14
383;1;383;2
384;1;384;14
385;1;385;7
386;1;386;4
387;1;387;11
388;1;388;17
389;1;389;0
390;1;390;3
391;1;391;16
392;1;392;2
393;1;393;14
394;1;394;13
395;1;395;6
396;1;396;17
397;1;397;4
398;1;398;0
399;1;399;10
400;1;400;6
401;1;401;16
402;1;402;2
403;1;403;0
404;1;404;9
405;1;405;19
406;1;406;12
407;1;407;17
408;1;408;20
409;1;409;9
410;1;410;15
411;1;411;9
412;1;412;5
413;1;413;17
414;1;414;3
415;1;415;5
416;1;416;8
417;1;417;4
418;1;418;13
419;1;419;19
420;1;420;12
421;1;421;4
422;1;422;15
423;1;423;7
424;1;424;3
425;1;425;2
426;1;426;1
427;1;427;12
428;1;428;20
429;1;429;19
430;1;430;20
431;1;431;5
432;1;432;20
433;1;433;15
434;1;434;1
435;1;435;3
436;1;436;14
437;1;437;1
438;1;438;13
439;1;439;17
440;1;440;16
441;1;441;17
442;1;442;15
443;1;443;5
444;1;444;15
445;1;445;1
446;1;446;1
447;1;447;11
448;1;448;20
449;1;449;11
450;1;450;3
451;1;451;6
452;1;452;15
453;1;453;9
454;1;454;1
455;1;455;1
456;1;456;20
457;1;457;13
458;1;458;1
459;1;459;8
460;1;460;0
461;1;461;2
462;1;462;18
463;1;463;6
464;1;464;18
465;1;465;7
466;1;466;8
467;1;467;20
468;1;468;0
469;1;469;16
470;1;470;9
471;1;471;18
472;1;472;3
473;1;473;1
474;1;474;2
475;1;475;9
476;1;476;12
477;1;477;16
478;1;478;2
479;1;479;16
480;1;480;13
481;1;481;17
482;1;482;10
483;1;483;15
484;1;484;4
485;1;485;2
486;1;486;8
487;1;487;13
488;1;488;3
489;1;489;10
490;1;490;4
491;1;491;2
492;1;492;0
493;1;493;13
494;1;494;12
495;1;495;11
496;1;496;14
497;1;497;14
498;1;498;20
499;1;499;0
500;1;500;19
501;1;501;11
502;1;502;5
503;1;503;15
504;1;504;2
505;1;505;20
506;1;506;4
507;1;507;20
508;1;508;1
509;1;509;13
510;1;510;1
511;1;511;8
512;1;512;5
513;1;513;15
514;1;514;14
515;1;515;9
516;1;516;16
517;1;517;14
518;1;518;19
519;1;519;16
520;1;520;18
521;1;521;4
522;1;522;4
523;1;523;3
524;1;524;12
525;1;525;6
526;1;526;9
527;1;527;17
528;1;528;11
529;1;529;9
530;1;530;17
531;1;531;0
532;1;532;1
533;1;533;12
534;1;534;1
535;1;535;8
536;1;536;13
537;1;537;9
538;1;538;10
539;1;539;12
540;1;540;6
541;1;541;18
542;1;542;18
543;1;543;15
544;1;544;11
545;1;545;4
546;1;546;17
547;1;547;5
548;1;548;18
549;1;549;11
550;1;550;12
551;1;551;3
552;1;552;16
553;1;553;0
554;1;554;10
555;1;555;0
556;1;556;19
557;1;557;3
558;1;558;15
559;1;559;3
560;1;560;18
561;1;561;9
562;1;562;11
563;1;563;15
564;1;564;4
565;1;565;3
566;1;566;12
567;1;567;3
568;1;568;12
569;1;569;17
570;1;570;2
571;1;571;18
572;1;572;1
573;1;573;13
574;1;574;11
575;1;575;2
576;1;576;6
577;1;577;9
578;1;578;16
579;1;579;13
580;1;580;16
581;1;581;9
582;1;582;7
583;1;583;12
584;1;584;5
585;1;585;6
586;1;586;19
587;1;587;4
588;1;588;15
589;1;589;5
590;1;590;16
591;1;591;13
592;1;592;12
593;1;593;11
594;1;594;0
595;1;595;7
596;1;596;17
597;1;597;3
598;1;598;19
599;1;599;9
600;1;600;9
601;1;601;5
602;1;602;0
603;1;603;16
604;1;604;4
605;1;605;19
606;1;606;4
607;1;607;3
608;1;608;6
609;1;609;20
610;1;610;6
611;1;611;14
612;1;612;14
613;1;613;3
614;1;614;4
615;1;615;20
616;1;616;16
617;1;617;11
618;1;618;0
619;1;619;15
620;1;620;4
621;1;621;6
622;1;622;6
623;1;623;15
624;1;624;6
625;1;625;3
626;1;626;6
627;1;627;11
628;1;628;6
629;1;629;0
630;1;630;1
631;1;631;9
632;1;632;19
633;1;633;16
634;1;634;4
635;1;635;7
636;1;636;1
637;1;637;8
638;1;638;15
639;1;639;11
640;1;640;8
641;1;641;9
642;1;642;13
643;1;643;2
644;1;644;16
645;1;645;13
646;1;646;4
647;1;647;16
648;1;648;18
649;1;649;19
650;1;650;0
651;1;651;4
652;1;652;0
653;1;653;4
654;1;654;9
655;1;655;18
656;1;656;2
657;1;657;14
658;1;658;6
659;1;659;10
660;1;660;5
661;1;661;3
662;1;662;7
663;1;663;8
664;1;664;16
665;1;665;19
666;1;666;9
667;1;667;16
668;1;668;13
669;1;669;4
670;1;670;12
671;1;671;17
672;1;672;8
673;1;673;10
674;1;674;13
675;1;675;9
676;1;676;14
677;1;677;18
678;1;678;0
679;1;679;1
680;1;680;1
681;1;681;8
682;1;682;14
683;1;683;19
684;1;684;0
685;1;685;14
686;1;686;5
687;1;687;18
688;1;688;8
689;1;689;8
690;1;690;10
691;1;691;10
692;1;692;18
693;1;693;12
694;1;694;0
695;1;695;1
696;1;696;0
697;1;697;12
698;1;698;9
699;1;699;18
700;1;700;3
701;1;701;4
702;1;702;11
703;1;703;19
704;1;704;1
705;1;705;6
706;1;706;15
707;1;707;10
708;1;708;5
709;1;709;3
710;1;710;3
711;1;711;18
712;1;712;1
713;1;713;9
714;1;714;9
715;1;715;19
716;1;716;15
717;1;717;9
718;1;718;14
719;1;719;20
720;1;720;19
721;1;721;9
722;1;722;17
723;1;723;11
724;1;724;16
725;1;725;20
726;1;726;7
727;1;727;9
728;1;728;15
729;1;729;6
730;1;730;11
731;1;731;0
732;1;732;11
733;1;733;10
734;1;734;15
735;1;735;0
736;1;736;4
737;1;737;13
738;1;738;2
739;1;739;15
740;1;740;15
741;1;741;9
742;1;742;4
743;1;743;13
744;1;744;20
745;1;745;17
746;1;746;0
747;1;747;9
748;1;748;14
749;1;749;1
750;1;750;17
751;1;751;16
752;1;752;9
753;1;753;16
754;1;754;7
755;1;755;11
756;1;756;19
757;1;757;8
758;1;758;4
759;1;759;19
760;1;760;5
761;1;761;10
762;1;762;2
763;1;763;14
764;1;764;6
765;1;765;0
766;1;766;1
767;1;767;14
768;1;768;20
769;1;769;5
770;1;770;13
771;1;771;15
772;1;772;8
773;1;773;19
774;1;774;14
775;1;775;3
776;1;776;12
777;1;777;19
778;1;778;7
779;1;779;17
780;1;780;8
781;1;781;4
782;1;782;13
783;1;783;13
784;1;784;14
785;1;785;15
786;1;786;17
787;1;787;15
788;1;788;15
789;1;789;15
790;1;790;5
791;1;791;15
792;1;792;8
793;1;793;17
794;1;794;1
795;1;795;7
796;1;796;14
797;1;797;4
798;1;798;10
799;1;799;6
800;1;800;0
801;1;801;19
802;1;802;19
803;1;803;1
804;1;804;11
805;1;805;4
806;1;806;2
807;1;807;13
808;1;808;14
809;1;809;20
810;1;810;0
811;1;811;12
812;1;812;17
813;1;813;5
814;1;814;19
815;1;815;12
816;1;816;14
817;1;817;0
818;1;818;17
819;1;819;0
820;1;820;19
821;1;821;15
822;1;822;5
823;1;823;14
824;1;824;17
825;1;825;8
826;1;826;15
827;1;827;6
828;1;828;15
829;1;829;4
830;1;830;11
831;1;831;19
832;1;832;10
833;1;833;1
834;1;834;1
835;1;835;17
836;1;836;20
837;1;837;18
838;1;838;4
839;1;839;9
840;1;840;6
841;1;841;10
842;1;842;4
843;1;843;10
844;1;844;8
845;1;845;13
846;1;846;18
847;1;847;1
848;1;848;20
849;1;849;7
850;1;850;14
851;1;851;0
852;1;852;8
853;1;853;0
854;1;854;3
855;1;855;20
856;1;856;12
857;1;857;0
858;1;858;5
859;1;859;0
860;1;860;17
861;1;861;9
862;1;862;18
863;1;863;11
864;1;864;14
865;1;865;2
866;1;866;12
867;1;867;3
868;1;868;19
869;1;869;8
870;1;870;9
871;1;871;2
872;1;872;18
873;1;873;15
874;1;874;10
875;1;875;7
876;1;876;16
877;1;877;12
878;1;878;10
879;1;879;13
880;1;880;20
881;1;881;1
882;1;882;7
883;1;883;15
884;1;884;15
885;1;885;17
886;1;886;18
887;1;887;4
888;1;888;6
889;1;889;8
890;1;890;16
891;1;891;14
892;1;892;3
893;1;893;13
894;1;894;6
895;1;895;13
896;1;896;14
897;1;897;16
898;1;898;15
899;1;899;12
900;1;900;7
901;1;901;2
902;1;902;10
903;1;903;8
904;1;904;17
905;1;905;1
906;1;906;10
907;1;907;7
908;1;908;4
909;1;909;3
910;1;910;11
911;1;911;17
912;1;912;1
913;1;913;0
914;1;914;16
915;1;915;1
916;1;916;7
917;1;917;13
918;1;918;16
919;1;919;7
920;1;920;20
921;1;921;19
922;1;922;0
923;1;923;11
924;1;924;16
925;1;925;1
926;1;926;8
927;1;927;20
928;1;928;10
929;1;929;17
930;1;930;2
931;1;931;0
932;1;932;19
933;1;933;4
934;1;934;3
935;1;935;4
936;1;936;13
937;1;937;3
938;1;938;3
939;1;939;19
940;1;940;20
941;1;941;1
942;1;942;2
943;1;943;11
944;1;944;2
945;1;945;14
946;1;946;12
947;1;947;6
948;1;948;9
949;1;949;15
950;1;950;1
951;1;951;10
952;1;952;14
953;1;953;3
954;1;954;2
955;1;955;5
956;1;956;17
957;1;957;9
958;1;958;4
959;1;959;3
960;1;960;9
961;1;961;4
962;1;962;11
963;1;963;0
964;1;964;16
965;1;965;11
966;1;966;16
967;1;967;10
968;1;968;17
969;1;969;1
970;1;970;18
971;1;971;8
972;1;972;8
973;1;973;14
974;1;974;5
975;1;975;4
976;1;976;9
977;1;977;4
978;1;978;7
979;1;979;1
980;1;980;11
981;1;981;20
982;1;982;14
983;1;983;5
984;1;984;2
985;1;985;18
986;1;986;1
987;1;987;15
988;1;988;7
989;1;989;14
990;1;990;1
991;1;991;5
992;1;992;17
993;1;993;4
994;1;994;18
995;1;995;8
996;1;996;6
997;1;997;8
998;1;998;1
999;1;999;0
1000;1;1000;10
1001;1;1001;19
1002;1;1002;20
1003;1;1003;3
1004;1;1004;9
1005;1;1005;16
1006;1;1006;8
1007;1;1007;6
1008;1;1008;2
1009;1;1009;18
1010;1;1010;15
1011;1;1011;14
1012;1;1012;0
1013;1;1013;8
1014;1;1014;19
1015;1;1015;9
1016;1;1016;17
1017;1;1017;5
1018;1;1018;17
1019;1;1019;2
1020;1;1020;1
1021;1;1021;4
1022;1;1022;5
1023;1;1023;14
1024;1;1024;14
1025;1;1025;1
1026;1;1026;7
1027;1;1027;11
1028;1;1028;6
1029;1;1029;7
1030;1;1030;19
1031;1;1031;18
1032;1;1032;8
1033;1;1033;18
1034;1;1034;3
1035;1;1035;11
1036;1;1036;1
1037;1;1037;5
1038;1;1038;5
1039;1;1039;14
1040;1;1040;0
1041;1;1041;15
1042;1;1042;13
1043;1;1043;3
1044;1;1044;6
1045;1;1045;20
1046;1;1046;0
1047;1;1047;0
1048;1;1048;16
1049;1;1049;11
1050;1;1050;3
1051;1;1051;9
1052;1;1052;5
1053;1;1053;4
1054;1;1054;5
1055;1;1055;18
1056;1;1056;3
1057;1;1057;18
1058;1;1058;17
1059;1;1059;9
1060;1;1060;14
1061;1;1061;17
1062;1;1062;1
1063;1;1063;4
1064;1;1064;11
1065;1;1065;14
1066;1;1066;9
1067;1;1067;16
1068;1;1068;2
1069;1;1069;14
1070;1;1070;4
1071;1;1071;1
1072;1;1072;8
1073;1;1073;0
1074;1;1074;20
1075;1;1075;7
1076;1;1076;7
1077;1;1077;2
1078;1;1078;2
1079;1;1079;12
1080;1;1080;6
1081;1;1081;16
1082;1;1082;11
1083;1;1083;14
1084;1;1084;2
1085;1;1085;7
1086;1;1086;9
1087;1;1087;13
1088;1;1088;8
1089;1;1089;0
1090;1;1090;11
1091;1;1091;3
1092;1;1092;9
1093;1;1093;11
1094;1;1094;20
1095;1;1095;19
1096;1;1096;18
1097;1;1097;4
1098;1;1098;12
1099;1;1099;5
1100;1;1100;0
1101;1;1101;15
1102;1;1102;12
1103;1;1103;19
1104;1;1104;18
1105;1;1105;14
1106;1;1106;10
1107;1;1107;2
1108;1;1108;8
1109;1;1109;14
1110;1;1110;1
1111;1;1111;0
1112;1;1112;11
1113;1;1113;13
1114;1;1114;9
1115;1;1115;17
1116;1;1116;9
1117;1;1117;19
1118;1;1118;18
1119;1;1119;9
1120;1;1120;18
1121;1;1121;14
1122;1;1122;5
1123;1;1123;11
1124;1;1124;8
1125;1;1125;10
1126;1;1126;1
1127;1;1127;4
1128;1;1128;7
1129;1;1129;5
1130;1;1130;7
1131;1;1131;17
1132;1;1132;9
1133;1;1133;17
1134;1;1134;19
1135;1;1135;8
1136;1;1136;1
1137;1;1137;0
1138;1;1138;17
1139;1;1139;9
1140;1;1140;8
1141;1;1141;11
1142;1;1142;6
1143;1;1143;12
1144;1;1144;4
1145;1;1145;20
1146;1;1146;17
1147;1;1147;0
1148;1;1148;4
1149;1;1149;12
1150;1;1150;4
1151;1;1151;16
1152;1;1152;9
1153;1;1153;15
1154;1;1154;19
1155;1;1155;20
1156;1;1156;4
1157;1;1157;15
1158;1;1158;3
1159;1;1159;3
1160;1;1160;10
1161;1;1161;16
1162;1;1162;8
1163;1;1163;4
1164;1;1164;19
1165;1;1165;6
1166;1;1166;2
1167;1;1167;11
1168;1;1168;10
1169;1;1169;20
1170;1;1170;13
1171;1;1171;17
1172;1;1172;11
1173;1;1173;16
1174;1;1174;0
1175;1;1175;6
1176;1;1176;13
1177;1;1177;14
1178;1;1178;12
1179;1;1179;1
1180;1;1180;11
1181;1;1181;19
1182;1;1182;0
1183;1;1183;7
1184;1;1184;3
1185;1;1185;12
1186;1;1186;7
1187;1;1187;14
1188;1;1188;3
1189;1;1189;3
1190;1;1190;15
1191;1;1191;2
1192;1;1192;4
1193;1;1193;15
1194;1;1194;13
1195;1;1195;7
1196;1;1196;1
1197;1;1197;1
1198;1;1198;20
1199;1;1199;0
1200;1;1200;5
1201;1;1201;12
1202;1;1202;6
1203;1;1203;9
1204;1;1204;13
1205;1;1205;12
1206;1;1206;12
1207;1;1207;3
1208;1;1208;15
1209;1;1209;7
1210;1;1210;5
1211;1;1211;1
1212;1;1212;8
1213;1;1213;3
1214;1;1214;19
1215;1;1215;13
1216;1;1216;18
1217;1;1217;1
1218;1;1218;16
1219;1;1219;12
1220;1;1220;1
1221;1;1221;20
1222;1;1222;1
1223;1;1223;19
1224;1;1224;11
1225;1;1225;20
1226;1;1226;5
1227;1;1227;17
1228;1;1228;7
1229;1;1229;17
1230;1;1230;19
1231;1;1231;20
1232;1;1232;0
1233;1;1233;5
1234;1;1234;1
1235;1;1235;15
1236;1;1236;13
1237;1;1237;4
1238;1;1238;18
1239;1;1239;9
1240;1;1240;7
1241;1;1241;1
1242;1;1242;3
1243;1;1243;17
1244;1;1244;1
1245;1;1245;18
1246;1;1246;3
1247;1;1247;20
1248;1;1248;4
1249;1;1249;12
1250;1;1250;0
1251;1;1251;2
1252;1;1252;3
1253;1;1253;18
1254;1;1254;16
1255;1;1255;6
1256;1;1256;15
1257;1;1257;13
1258;1;1258;10
1259;1;1259;11
1260;1;1260;10
1261;1;1261;9
1262;1;1262;17
1263;1;1263;3
1264;1;1264;2
1265;1;1265;8
1266;1;1266;14
1267;1;1267;8
1268;1;1268;9
1269;1;1269;0
1270;1;1270;6
1271;1;1271;18
1272;1;1272;3
1273;1;1273;10
1274;1;1274;8
1275;1;1275;13
1276;1;1276;8
1277;1;1277;14
1278;1;1278;14
1279;1;1279;5
1280;1;1280;17
1281;1;1281;2
1282;1;1282;3
1283;1;1283;0
1284;1;1284;6
1285;1;1285;17
1286;1;1286;1
1287;1;1287;7
1288;1;1288;5
1289;1;1289;5
1290;1;1290;5
1291;1;1291;3
1292;1;1292;6
1293;1;1293;8
1294;1;1294;12
1295;1;1295;6
1296;1;1296;9
1297;1;1297;0
1298;1;1298;8
1299;1;1299;10
1300;1;1300;12
1301;1;1301;17
1302;1;1302;15
1303;1;1303;6
1304;1;1304;6
1305;1;1305;0
1306;1;1306;0
1307;1;1307;19
1308;1;1308;14
1309;1;1309;16
1310;1;1310;1
1311;1;1311;17
1312;1;1312;13
1313;1;1313;8
1314;1;1314;1
1315;1;1315;17
1316;1;1316;12
1317;1;1317;4
1318;1;1318;20
1319;1;1319;6
1320;1;1320;6
1321;1;1321;11
1322;1;1322;2
1323;1;1323;3
1324;1;1324;8
1325;1;1325;9
1326;1;1326;4
1327;1;1327;19
1328;1;1328;10
1329;1;1329;12
1330;1;1330;4
1331;1;1331;13
1332;1;1332;3
1333;1;1333;13
1334;1;1334;20
1335;1;1335;0
1336;1;1336;20
1337;1;1337;4
1338;1;1338;14
1339;1;1339;0
1340;1;1340;19
1341;1;1341;7
1342;1;1342;13
1343;1;1343;6
1344;1;1344;3
1345;1;1345;15
1346;1;1346;17
1347;1;1347;13
1348;1;1348;7
1349;1;1349;5
1350;1;1350;16
1351;1;1351;3
1352;1;1352;3
1353;1;1353;8
1354;1;1354;18
1355;1;1355;13
1356;1;1356;10
1357;1;1357;6
1358;1;1358;14
1359;1;1359;14
1360;1;1360;5
1361;1;1361;11
1362;1;1362;18
1363;1;1363;2
1364;1;1364;14
1365;1;1365;17
1366;1;1366;1
1367;1;1367;8
1368;1;1368;15
1369;1;1369;17
1370;1;1370;13
1371;1;1371;14
1372;1;1372;19
1373;1;1373;16
1374;1;1374;0
1375;1;1375;9
1376;1;1376;18
1377;1;1377;15
1378;1;1378;4
1379;1;1379;2
1380;1;1380;9
1381;1;1381;17
1382;1;1382;18
1383;1;1383;10
1384;1;1384;11
1385;1;1385;17
1386;1;1386;7
1387;1;1387;9
1388;1;1388;7
1389;1;1389;5
1390;1;1390;1
1391;1;1391;3
1392;1;1392;14
1393;1;1393;9
1394;1;1394;1
1395;1;1395;14
1396;1;1396;20
1397;1;1397;5
1398;1;1398;0
1399;1;1399;12
1400;1;1400;8
1401;1;1401;20
1402;1;1402;6
1403;1;1403;18
1404;1;1404;0
1405;1;1405;8
1406;1;1406;15
1407;1;1407;1
1408;1;1408;8
1409;1;1409;17
1410;1;1410;13
1411;1;1411;18
1412;1;1412;10
1413;1;1413;7
1414;1;1414;18
1415;1;1415;15
1416;1;1416;2
1417;1;1417;2
1418;1;1418;6
1419;1;1419;0
1420;1;1420;13
1421;1;1421;20
1422;1;1422;18
1423;1;1423;12
1424;1;1424;0
1425;1;1425;18
1426;1;1426;6
1427;1;1427;9
1428;1;1428;6
1429;1;1429;7
1430;1;1430;15
1431;1;1431;14
1432;1;1432;9
1433;1;1433;5
1434;1;1434;3
1435;1;1435;17
1436;1;1436;7
1437;1;1437;14
1438;1;1438;13
1439;1;1439;11
1440;1;1440;7
1441;1;1441;14
1442;1;1442;8
1443;1;1443;4
1444;1;1444;7
1445;1;1445;4
1446;1;1446;8
1447;1;1447;15
1448;1;1448;9
1449;1;1449;18
1450;1;1450;10
1451;1;1451;16
1452;1;1452;1
1453;1;1453;20
1454;1;1454;13
1455;1;1455;2
1456;1;1456;0
1457;1;1457;15
1458;1;1458;7
1459;1;1459;17
1460;1;1460;20
1461;1;1461;12
1462;1;1462;1
1463;1;1463;8
1464;1;1464;3
1465;1;1465;6
1466;1;1466;9
1467;1;1467;5
1468;1;1468;13
1469;1;1469;16
1470;1;1470;2
1471;1;1471;5
1472;1;1472;7
1473;1;1473;12
1474;1;1474;17
1475;1;1475;0
1476;1;1476;2
1477;1;1477;11
1478;1;1478;16
1479;1;1479;7
1480;1;1480;17
1481;1;1481;11
1482;1;1482;3
1483;1;1483;13
1484;1;1484;19
1485;1;1485;6
1486;1;1486;20
1487;1;1487;15
1488;1;1488;7
1489;1;1489;4
1490;1;1490;1
1491;1;1491;16
1492;1;1492;2
1493;1;1493;15
1494;1;1494;13
1495;1;1495;17
1496;1;1496;17
1497;1;1497;6
1498;1;1498;8
1499;1;1499;20
1500;1;1500;17
1501;1;1501;3
1502;1;1502;16
1503;1;1503;0
1504;1;1504;20
1505;1;1505;5
1506;1;1506;11
1507;1;1507;12
1508;1;1508;19
1509;1;1509;7
1510;1;1510;14
1511;1;1511;5
1512;1;1512;3
1513;1;1513;17
1514;1;1514;20
1515;1;1515;17
1516;1;1516;20
1517;1;1517;17
1518;1;1518;3
1519;1;1519;18
1520;1;1520;18
1521;1;1521;20
1522;1;1522;9
1523;1;1523;12
1524;1;1524;19
1525;1;1525;20
1526;1;1526;19
1527;1;1527;5
1528;1;1528;12
1529;1;1529;5
1530;1;1530;4
1531;1;1531;14
1532;1;1532;11
1533;1;1533;11
1534;1;1534;1
1535;1;1535;15
1536;1;1536;13
1537;1;1537;15
1538;1;1538;9
1539;1;1539;20
1540;1;1540;7
1541;1;1541;15
1542;1;1542;20
1543;1;1543;1
1544;1;1544;13
1545;1;1545;20
1546;1;1546;9
1547;1;1547;13
1548;1;1548;3
1549;1;1549;10
1550;1;1550;12
1551;1;1551;3
1552;1;1552;2
1553;1;1553;18
1554;1;1554;17
1555;1;1555;17
1556;1;1556;1
1557;1;1557;7
1558;1;1558;17
1559;1;1559;18
1560;1;1560;0
1561;1;1561;0
1562;1;1562;13
1563;1;1563;10
1564;1;1564;14
1565;1;1565;7
1566;1;1566;1
1567;1;1567;6
1568;1;1568;18
1569;1;1569;9
1570;1;1570;19
1571;1;1571;9
1572;1;1572;12
1573;1;1573;15
1574;1;1574;9
1575;1;1575;15
1576;1;1576;3
1577;1;1577;16
1578;1;1578;14
1579;1;1579;7
1580;1;1580;14
1581;1;1581;18
1582;1;1582;16
1583;1;1583;18
1584;1;1584;1
1585;1;1585;18
1586;1;1586;11
1587;1;1587;8
1588;1;1588;4
1589;1;1589;18
1590;1;1590;20
1591;1;1591;10
1592;1;1592;0
1593;1;1593;13
1594;1;1594;1
1595;1;1595;11
1596;1;1596;17
