IDP;NOMBRE;DESCRIPCION;PRECIO
23;CONSERVAS, SALSATI;SALSA POMAROLA SALSATI DP X 340 GRS;15.07
24;HARINA DE MAIZ, CARREFOUR;POLENTA INSTANTANEA CARREFOUR X 500 GRS;11.97
25;HARINA DE MAIZ, DEL CAMPO;POLENTA INSTANTANEA DEL CAMPO X 500 GRS;10.88
26;HARINAS, CANUELAS;HARINA DE TRIGO 000 CANUELAS X 1 KG;7.72
27;HARINAS, CASERITA;HARINA DE TRIGO 000 CASERITA X 1 KG;11.2
28;HARINAS, BLANCAFLOR;HARINA DE TRIGO 0000 FORTIFIC BLANCAFLOR X 1 K;13.39
29;MAYONESA, LA CAMPAGNOLA;MAYONESA LIGHT BC LA CAMPAGNOLA DOY PACK X500G;19.5
30;PAN DE MESA, BIMBO;PAN ARABE BLANCO BIMBO X 230 GRS;31
31;PAN DE MESA, FARGO;PAN DE SALVADO DOBLE SIN SAL FARGO X 400 GRS;28.25
32;PAN DE MESA, LACTAL;PAN RODAJAS FINAS LACTAL X 380 GRS;23.04
33;PAN RALLADO, MAMA COCINA;PAN RALLADO FORTIFICADO MAMA COCINA X 1 KG;36.08
34;PAN RALLADO, CASERITA;PAN RALLADO VITA K CASERITA X 1 KG;35.85
35;PASTAS SECAS, FAVORITA;FIDEOS CODITOS RAYADOS FORTIFIC FAVORITA X500GRS;9.99
36;PASTAS SECAS, MANERA;FIDEOS MOSTACHOLES MANERA X 500 GRS;10.35
37;PASTAS SECAS, BONANZA;FIDEOS SEMOLADOS GUISEROS MOSTACHOL BONANZA X 500G;10.49
38;PASTAS SECAS, BONANZA;FIDEOS SEMOLADOS GUISEROS TIRABUZON BONANZA X 500G;12.59
39;PASTAS SECAS, BONANZA;FIDEOS SEMOLADOS LARGOS SPAGHETTI BONANZA X 500 GR;10.49
40;PASTAS SECAS, FAVORITA;FIDEOS TALLARIN FORTIFICADO FAVORITA X 500 GRS;9.99
41;PASTAS SECAS, MANERA;FIDEOS TALLARINES MANERA X 500 GRS.;10.35
42;PREMEZCLAS, GODET;BIZCOCHUELO VAINILLA GODET X 480 GRS;23.95
43;PREMEZCLAS, LA CAMPAGNOLA;GELATINA CEREZA BC LA CAMPAGNOLA CAJA X 30 G;12.13
44;SAL, LA PARMESANA;SAL DIETETICA LA PARMESANA X 75 GRS;39.99
45;SAL, LA PARMESANA;SAL DIETETICA SABOR APIO LA PARMESANA X 75 GRS;39.99
46;SAL, LA PARMESANA;SAL DIETETICA SABOR CEBOLLA LA PARMESANA X 75 GRS;39.99
47;SAL, LA PARMESANA;SAL DIETETICA SABORIZADA AJO LA PARMESANA X 75 GRS;39.99
48;SAL, DOS ANCLAS;SAL ENTREFINA DOS ANCLAS ESTUCHE X 500 GRS;8.32
49;SAL, DOS ANCLAS;SAL FINA LIGHT DOS ANCLAS ESTUCHE X 500 GRS;59.43
50;VINAGRE, DOS ANCLAS;VINAGRE  VINO  DOS ANCLAS  X 500 CC;15.38
51;AGUAS, KIN;AGUA MINERAL SIN GAS KIN BIDON X 6 LT;31.8
52;AGUAS, CARREFOUR;AGUA MINERAL SIN GAS BAJO SODIO CARREFOUR X 2 LT;11.46
53;AGUAS, KIN;AGUA MINERAL SIN GAS KIN PET X 2 LT;12.6
54;AGUAS, KIN;AGUA MINERAL SIN GAS KIN PET X 2.25 LT;12.6
55;AGUAS, KIN;SODA KIN BOTELLA X 2 LT;12.6
56;AGUAS SABORIZADA, FAVALORO;AGUA SABOR NARANJA CELLIER FAVALORO X1.5LT;13
57;AGUAS SABORIZADA, H2OH!;AGUA SABORIZADA MARACUYA CON GAS H2OH X 1.5 LT;21.9
58;AGUAS SABORIZADA, H2OH!;AGUA SABORIZADA NARANCHELO PET H2OH X 1.5 LT;21.9
59;AGUAS SABORIZADA, CARREFOUR;AGUA SABORIZADA NRNJ-DRZN C/GAS CARREFOUR X 1.5 LT;13
60;GASEOSAS, PEPSI;GASEOSA COLA LIGHT PEPSI PET X 1.5 LT;22
61;GASEOSAS, CUNNINGTON;GASEOSA COLA REGULAR CUNNINGTON PET X 2.25 LT;21.79
62;GASEOSAS, LIMIT;GASEOSA COLA REGULAR LIMIT X 2.25 LT;16.67
63;GASEOSAS, COCA COLA;GASEOSA COLA ZERO COCA COLA PET X 1.5 LT;24.5
64;GASEOSAS, CUNNINGTON;GASEOSA LIMA LIMON REGULAR CUNNINGTON PET X 2.25 L;21.79
65;GASEOSAS, LIMIT;GASEOSA LIMA LIMON REGULAR LIMIT 2.25 LT;16.67
66;GASEOSAS, SPRITE;GASEOSA LIMA LIMON ZERO SPRITE PET X 1.5 LT;24.5
67;GASEOSAS, MIRINDA;GASEOSA NARANJA REGULAR MIRINDA PET X 1.5 LT;19.4
68;GASEOSAS, FANTA;GASEOSA NARANJA ZERO VITAMINA C FANTA PET X 1.5 LT;17.6
69;GASEOSAS, SCHWEPPES;GASEOSA POMELO ZERO SCHWEPPES PET X 1.5 LT;24.5
70;GASEOSAS, ANTARTICA;GASEOSA SABOR GUARANA ZERO ANTARTICA X 1.5 LT;22
71;JUGO CONCENTRADO, CARIOCA;JUGO CONCENTRADO NARANJA CARIOCA X 1.5 LT;12.25
72;JUGOS EN POLVO, VERAO;JUGO EN POLVO ANANA VERAO X 10 GRS;2.75
73;JUGOS EN POLVO, BC LA CAMPAGNOLA;JUGO EN POLVO MANZANA BC LA CAMPAGNOLA X 8.5 GRS;2.86
74;JUGOS EN POLVO, VERAO;JUGO EN POLVO MANZANA VERAO X 10 GRS;2.75
75;JUGOS EN POLVO, VERAO;JUGO EN POLVO NARANJA DURAZNO VERAO X 10 GRS;2.75
76;JUGOS EN POLVO, VERAO;JUGO EN POLVO NARANJA VERAO X 10 GRS;2.75
77;JUGOS NATURALES, BC LA CAMPAGNOLA;JUGO NATURAL NARANJA BC X 1 LT;22.7
78;AZUCAR, DOMINO;AZUCAR BLANCA MOLIDA DOMINO X 1000 GRS;13.99
79;AZUCAR, LEDESMA;AZUCAR MOLIDA CLASICA LEDESMA BOLSA X 1 KG;17.12
80;AZUCAR, CHANGO;AZUCAR TIPO A BOLSA CHANGO X 1000 GRS;17.12
81;CACAO, ARCOR;CACAO EN POLVO ARCOR BOLSA X 360 GRS;20.63
82;CAFÉ, LA MORENITA;CAFE INSTANTANEO LA MORENITA X 100 GRS;43.35
83;DULCE DE LECHE, CASANTO;DULCE DE LECHE CASANTO POTE 400 GRS;23.93
84;ENDULZANTES, TUY;EDULCORANTE SOBRES C/ASPARTAMO TUY CAJA X 100 UNI;29.85
85;GALLETAS AGUA, OKEBON;GALLETITAS 10 SEMILLAS OKEBON X 225 GRS;26.49
86;GALLETAS AGUA, PASEO;GALLETITAS MINI CRACKERS 5 SEMILLAS PASEOX150G;16.07
87;GALLETAS AGUA, PASEO;GALLETITAS MINI CRACKERS PASEO X 150 GRS;11.74
88;GALLETAS AGUA, PASEO;GALLETITAS MINI CRACKERS SALVADO PASEO X150GRS;16.07
89;GALLETAS AGUA, PASEO;GALLETITAS MINI CRACKERS SESAMO PASEO X 150GRS;16.07
90;GALLETAS DULCES, OKEBON;GALLETITAS CHISPAS CHOCO BLANCO OKEBON X 145 GRS;14.99
91;GALLETAS DULCES, OKEBON;GALLETITAS CHISPAS CHOCOLATE OKEBON X 145 GRS;14.99
92;GALLETAS DULCES, MACUCAS;GALLETITAS CHOCOLATE RELL VAINI MACUCAS X 123 GRS;8.16
93;GALLETAS DULCES, TERRABUSI;GALLETITAS ROCOCO TERRABUSI X 160 GRS;18.36
94;GALLETAS DULCES, VOCACION;GALLETITAS VAINILLA CLASICAS VOCACION 3 X 155 GRS;18.07
95;GALLETAS DULCES, OKEBON;GALLETITAS VAINILLA PANAL FORTI PLUS OKEBON X 280G;19.35
96;INFUSION TE, LA MORENITA;TE EN SAQUITOS RAPIDA INFUSION LA MORENITA X 25 UN;8.9
97;INFUSION TE, ROSAMONTE;TE EN SAQUITOS ROSAMONTE X 25 UNI;8.87
98;INFUSION TE, LA TRANQUERA;TE EN SAQUITOS SIN SOBRE LA TRANQUERA X 50 UNI;18.99
99;INFUSION TE, TARAGUI;TE FILTRO ESPECIAL S/ENS. SAQ. TARAGUI X 25 UNI;9.09
100;INFUSION YERBA, ROMANCE;YERBA MATE  ROSAMONTE JUNIOR  1 KL;58.07
101;INFUSION YERBA, UNION;YERBA MATE BCP ORIGEN CONTROLADO UNION X 500 GRS;27.39
102;INFUSION YERBA, ROSAMONTE;YERBA MATE CON PALO JUNIOR ROSAMONTE X 500 GRS;28.1
103;INFUSION YERBA, ROMANCE;YERBA MATE CON PALO ROMANCE X 1 KG;48.95
104;INFUSION YERBA, TARAGUI;YERBA MATE LIVIANA TARAGUI X 1 KG;53.89
105;INFUSION YERBA, NOBLEZA GAUCHA;YERBA MATE SUAVE NOBLEZA GAUCHA X 500 GRS;25.51
106;INFUSION YERBA, ROMANCE;YERBA MATE SUAVE ROMANCE X 1KG;55.3
107;LECHE EN POLVO, PURISIMA;LECHE EN POLVO ENTERA PURISIMA CJ X 400 GRS;52.03
108;LECHE LARGA VIDA, LA LACTEO;LECHE DESC UAT C/CAL LA LACTEO X 1 L;20.68
109;LECHE LARGA VIDA, CARREFOUR;LECHE ENTERA UAT CARREFOUR X 1000 CC;20.29
110;LECHE LARGA VIDA, VERONICA;LECHE ENTERA UAT VERONICA X 1L;20.29
111;LECHE LARGA VIDA, LA LACTEO;LECHE ENTERA UAT LA LACTEO X 1 L;20.68
112;MATE COCIDO, CACHAMATE;MATE COCIDO CACHAMATE X 25 UNI;11.98
113;MERMELADA, DULCOR;MERMELADA DE DURAZNO DULCOR FRASCO X 454 GRS;21.12
114;MERMELADA, ARCOR;MERMELADA DE DURAZNO LIGHT ARCOR FRASCO X 390 GRS;30.44
115;CARNE VACUNA, ;ESPINAZO;27.2
116;CARNE VACUNA, ;PALETA;109.14
117;CARNE VACUNA, ;PICADA COMÚN;51.23
118;CARNE VACUNA, ;ROAST BEEF;96.02
119;CARNE VACUNA, ;TAPA DE ASADO;97.11
120;PANADERIA, ;PAN FRESCO;28.5
121;FRUTAS, ;MANZANA;22
122;VERDURAS, ;CEBOLLA;13.9
123;VERDURAS, ;Lechuga x 1 Kg;24.9
124;VERDURAS, ;PAPA;10.4
125;VERDURAS, ;Zanahoria x 1 Kg;19.3
126;HAMBURGUESA, PATY;HAMBURGUESA CONGELADA EXPRESS PATY X 4 UNI;35.7
127;HAMBURGUESA, SWIFT;MEDALLON DE CARNE SUPERCONGELADO SWIFT X 4 UNI;35.08
128;LECHE CHOCOLATADA, 7DIAS;LECHE CHOCOLATADA 7 DIAS X 200 CC;7.71
129;LECHE CHOCOLATADA, MILKAUT;LECHE CHOCOLATADA UAT MILKAUT X 1L;22.93
130;LECHE SACHET, ARMONIA;LECHE DESCREMADA ULTRA ARMONIA SACHET X 1L;15.95
131;LECHE SACHET, ARMONIA;LECHE ENTERA ULTRA ARMONIA SACHET X 1L;15.95
132;POSTRE LACTEO, SER;FLAN DE VAINILLA SER PACK X 2 U;17.6
133;POSTRE LACTEO, SERENITO;FLAN FORTIFICADO VAINILLA SERENITO X 210 GRS;14.13
134;POSTRE LACTEO, DANETTE;FLAN VAINILLA CON CARAMELO DANETTE X 2 U;14.13
135;POSTRE LACTEO, ROYAL;MOUSEE CHOCOLATE MANJARES LIGHT ROYAL X 40 GRS;11.63
136;POSTRE LACTEO, ROYAL;MOUSSE DULCE DE LECHE LIGHT ROYAL X 30 GRS;11.63
137;POSTRE LACTEO, SHIMY;POSTRE CHOCOLATE  SHIMY X 120 GRS;8.56
138;POSTRE LACTEO, SHIMY;POSTRE CHOCOLATE C/DD LECHE SHIMY X 120 GRS;8.56
139;POSTRE LACTEO, SHIMY;POSTRE DULCE DE LECHE SHIMY X 120 GRS;8.56
140;POSTRE LACTEO, DANETTE;POSTRE FLAN DULCE DE LECHE DANETTE X 2 UNI;14.13
141;POSTRE LACTEO, SHIMY;POSTRE VAINILLA C/DD LECHE SHIMY X 120 GRS;8.56
142;POSTRE LACTEO, SHIMY;POSTRE VAINILLA SHIMY X 120 GRS;8.56
143;QUESO CREMA, CASANCREM;QUESO CREMA CLASICO CASANCREM X 500 GRS;56.68
144;QUESO CREMA, CASANCREM;QUESO CREMA LIGHT CASANCREM X 500 GRS;55.27
145;QUESO CREMA, VERONICA;QUESO UNTABLE VERONICA X 190 GRS;26.7
146;SALCHICHAS, ICB;SALCHICHAS ICB X 6;15.8
147;SALCHICHAS, LA BLANCA;SALCHICHAS SIN PIEL LA BLANCA X 6 U;15.82
148;TAPA DE EMPANADA, FARGO;TAPA P/EMPANADA HORNO FARGO X 16 U;23.6
149;TAPA DE TARTA PASCUALIN, LA SALTENA;TAPA PASCUALINA LIGHT LA SALTENA 2 X 400 GRS;32.55
150;YOGURT, LA SERENISIMA;YOGUR ENT FRUTI FORT YOGURISIMO CREMIX 2 X 120 GRS;20
151;YOGURT, LA SERENISIMA;YOGUR ENT VAINI FORT YOGURISIMO CREMIX 2 X 120 GRS;20
152;YOGURT, SANCOR;YOGUR ENT. DESC FRUTILLA SANCOR YOGS BOTELLA X 185;14.72
153;YOGURT, SANCOR;YOGUR ENT. DESC VAINILLA SANCOR YOGS BOTELLA X 185;14.72
154;YOGURT, LA SERENISIMA;YOGUR ENTERO FRUTILLA FIRME YOGURISIMO 2 X 125 GRS;20
155;YOGURT, LA SERENISIMA;YOGUR ENTERO VAINILLA FIRME YOGURISIMO 2 X 125 GRS;20
156;ADHESIVOS, PELIKAN;ADH SINTETICO PELIKAN 50ML;13.44
157;BOLIGRAFO, BIC;BOLIG BIC ROUND STICK SURT X4U;17.86
158;BOLIGRAFO, FILGO;BOLIG FILGO STICK 026 SURTIDO X4U;9.9
159;BOLIGRAFO, PELIKAN;BOLIG POINTEC AZUL X4U;14
160;BOLIGRAFO, FILGO;BOLIG RETRACTIL FILGO REAL GRIP NEGRO;6.9
161;BORRATINTA, FILGO;BORRATINTA JET KILLER X2U;26.1
162;CARTUCHO, FILGO;CARTUCHO FILGO AZUL X6U;8.62
163;CARTUCHO, PELIKAN;CARTUCHO PELIKAN 2 CAJAS X6U C/U;49.6
164;CRAYONES, PELIKAN;CRAYONES SYLVAPEN X12U;26.04
165;CUADERNO, GLORIA / AMERICA;CUAD ARA A 42H RAY AZUL;23.41
166;CUADERNO, GLORIA / AMERICA;CUAD T/F RAYADO 48H 48 HOJAS.;8.83
167;LAPICERA, FILGO;LAPICERA FILGO TINTA GEL BORRAXION;45.85
168;LAPIZ, PELIKAN;L.COLORES PELIKAN X12U;40.85
169;LAPIZ, FILGO;L.GRAFITO FILGO SIGMA FLEX X4U;7.9
170;LAPIZ, PELIKAN;L.GRAFITO PELIKAN C/GOMA X4U;26.04
171;LAPIZ, FILGO;LAPIZ CORRECTOR CARREFOUR;17.6
172;MINAS, FILGO;MINAS 2B FILGO 0.5MM;6.92
173;MINAS, FILGO;MINAS B FILGO 0.5MM;6.92
174;MINAS, FILGO;MINAS HB FILGO 0.5MM;6.92
175;PORTAMINAS, FILGO;PORTAMINA FILGO REAL GRIP 0.5MM AZUL;6.33
176;REPUESTO HOJAS, GLORIA / AMERICA;REPUESTO CUADRICULADO POR 96 HOJAS;21.71
177;REPUESTO HOJAS, GLORIA / AMERICA;REPUESTO RAYADO POR 96 HOJAS;21.71
178;RESALTADOR, FILGO;RESALT FILGO AMARILLO;9.93
179;RESALTADOR, FILGO;RESALT FILGO CELESTE;9.93
180;RESALTADOR, FILGO;RESALT FILGO NARANJA;9.93
181;RESALTADOR, FILGO;RESALT FILGO ROSA;9.93
182;RESALTADOR, FILGO;RESALT FILGO VERDE;9.93
183;ESCARBADIENTES, IBERIA;PALILLERO ZODIACO X 50UNID;13.79
184;PAÑALES, PAMPERS;PANALES TALLE G MEGA SUPERSEC PAMPERS X 22 UNI;88.39
185;PAÑALES, PAMPERS;PANALES TALLE M MEGA SUPERSEC PAMPERS X 26 UNI;88.39
186;PAÑALES, PAMPERS;PANALES TALLE PEQ SUPERSEC PAMPERS X 30 UNI;88.39
187;PAÑALES, PAMPERS;PANALES TALLE XG MEGA SUPERSEC PAMPERS X 18 UN;88.39
188;PAÑALES, PAMPERS;PANALES TALLE XXG MEGA SUPERSEC PAMPERS X 18 U;88.39
189;ANTIPOLILLAS, AIRE PUR;ANTIPOLILLAS PERCHA LAVANDA AIRE PUR X 1 UNI;24.81
190;MATA MOSCAS, MOSQUI TRAP;MATA MOSCAS Y MOSQUITOS AERO MOSQUI TRAP X400CC;31.6
191;POLILLAS, IBERIA;NAFTALINA REFINADA MAXIMA PUREZA IBERIA X 200G;58.9
192;REPELENTES, AGENT X;APARATO AHUYENTA MOSQUITOS S/VENENO AGENTX X 1 UNI;49.25
193;TABLETAS, FUYI;TABLETAS MATA MOSCAS-MOSQUITOS FUYI X 16 UNI;24.91
194;ABSORBE HUMEDAD, AIRE PUR;ANTIHUMEDAD DESOD LAVA RTO 2EN1 AIRE PUR X350GRS;90.75
195;ABSORBE HUMEDAD, AIRE PUR;ANTIHUMEDAD DESOD LAVANDA 2EN1 AIRE PUR X 75 G;66.7
196;ABSORBE HUMEDAD, AIRE PUR;ANTIHUMEDAD DESODORANTE LAVANDA AIRE PUR X 1 U;90.75
197;ABSORBE HUMEDAD, AIRE PUR;ANTIHUMEDAD TRABLET VAINILLA AIRE PUR X 75 GRS;79.83
198;AUTOBRILLO, SUIZA;AUTOBRILLO INCOLORO SUIZA DP X 900 CC;29.97
199;AUTOBRILLO, SUIZA;AUTOBRILLO NEGRO SUIZA DP X 900 CC;29.97
200;AUTOBRILLO, SUIZA;AUTOBRILLO ROJO SUIZA DP X 900 CC;29.97
201;CERA, CLINSY;CERA LIQUIDA NATURAL CLINSY X 900CC;61.98
202;DETERGENTE LAVAVAJILLA, GIGANTE;LAVAVAJILLA ULTRA BRILLANT FRUTILLA GIGANTE X545CC;35.9
203;DETERGENTE LAVAVAJILLA, GIGANTE;LAVAVAJILLA ULTRA BRILLANTE LIMON GIGANTE X 545CC;35.9
204;DETERGENTE LAVAVAJILLA, GIGANTE;LAVAVAJILLA ULTRA BRILLANTE POMELO GIGANTE X 545CC;35.9
205;ESPONJAS Y PANOS, VIRULANA;FIBRA ESPONJA LISA VIRULANA X 1 UNI;6.59
206;JABON EN PAN, ZORRO;JABON EN PAN ESFERAS ACTIVAS ZORRO X 150 GRS;8.09
207;JABON EN PAN, GIGANTE;JABON EN PAN LIMP CLASICA GIGANTE X 2UNI X 200 GRS;16.76
208;JABON EN POLVO, GRANBY;GRANBY POLVO LAVADO TOTAL 24X800G;20.44
209;LAVANDINA, AYUDIN;LAVANDINA CONCENTRADA AYUDIN X 1 LT;11.55
210;LAVANDINA, QUERUBIN;LAVANDINA TRADICIONAL QUERUBIN X 2 LT;23.31
211;LAVAZAPATILLA, IBERIA;LAVAZAPATILLA IBERIA X 300 CC;54.5
212;LIMPIADOR LIQUIDO, CARREFOUR;LIMPIADOR COCINA ANTIGRASA CARREFOUR DP X 900 CC;15.83
213;LIMPIADOR LIQUIDO, CIF;LIMPIADOR GEL FACIL ENJUAGUE CIF X 500 CC;43.78
214;LIMPIADOR LIQUIDO, CARREFOUR;LIMPIADOR P/BANO CARREFOUR DP X 900 CC;17.91
215;LIMPIADOR LIQUIDO, SUIZA;LIMPIADOR P/PISOS PLASTICOS Y FLOTANTES SUIZA;29.25
216;LIMPIADOR LIQUIDO, SUIZA;LIMPIADOR PISOS PLASTIFICADOS SUIZA X 400 CC;14.7
217;LIMPIADOR LIQUIDO, CARREFOUR;LIMPIADOR VIDRIOS CARREFOUR DP X 900 CC;16.12
218;LIQUIDO, GIGANTE;BARRA QUITAMANCHAS GIGANTE X 1UNI;10.85
219;LIQUIDO, ALGABO;JABON LIQUIDO FLORAL RAIN DOY PACK ALGABO X 300 CC;25.3
220;LIQUIDO, ZORRO;JABON LIQUIDO P/ROPA CLASICO ZORRO DP X 1.5 CC;61.19
221;LIQUIDO, ACE;JABON LIQUIDO ROPA C/SUAVIZANTE RELAX ACE X 3000CC;195
222;LIQUIDO, ACE;JABON LIQUIDO ROPA C/SUAVIZANTE RELAX ACE X 800 CC;53.55
223;LUSTRAMUEBLES, SUIZA;LUSTRAMUEBLE CREMA SUIZA X 200 CC;15.59
224;PAPEL HIGIENICO, SCOTT;PAPEL HIGIENICO D/HOJA GOLD SCOTT 30 MTS X 4 UNI;39.63
225;SUAVIZANTES, ZORRO;SUAVIZANTE BOUQUET DE GARDENIAS ZORRO X 900 CC;23.19
226;SUAVIZANTES, GIGANTE;SUAVIZANTE P/ROPA FORM ECONOMIC GIGANTE X 900 CC;18.9
227;ACONDICIONADOR, PLUSBELLE;ACONDICIONADOR BRILLO SUBLIME PLUSBELLE X 650 CC;55.99
228;ACONDICIONADOR, DUC;ACONDICIONADOR C/EXTRA SEDA HIDRA REV DUC X350CC;52.45
229;ACONDICIONADOR, DUC;ACONDICIONADOR C/EXTRA SEDA RIZOS PERF DUC X350CC;52.45
230;ACONDICIONADOR, DUC;ACONDICIONADOR C/SEDA LISO RADIANTE DUCX 350 CC;52.45
231;ACONDICIONADOR, HERBAL ESSENCE;ACONDICIONADOR HIDRADISIACO HERBAL ESSENCES X300CC;45.75
232;ALCOHOL ETILICO, PUROCOL;ALCOHOL ETILICO 96 MF X 500 CC;20.59
233;ALCOHOL ETILICO, MF;ALCOHOL ETILICO EN GEL MF X 250 CC;32.19
234;CREMA CORPORAL, HINDS;CREMA CORPORAL HIDRATACION ESENCIAL HINDS X 250 CC;41.11
235;CREMA CORPORAL, NIVEA;CREMA CORPORAL REAFIRMANTE Q10 PLUS NIVEA X 250 CC;64.6
236;CREMA CORPORAL, NIVEA;CREMA CORPORAL SOFT MILK C/KARITE NIVEA X 250 CC;49.28
237;CUIDADO DE LA BARBA, BIC;MAQUINA DE AFEITAR COMFORT TWIN BIC X 5 UNI;42.37
238;CUIDADO DE LA PIEL, BIC;MAQUINA DESECHABLE MUJER COMFORT3 BIC X 5 UNI;43.45
239;DESODORANTES, REXONA;ANTITRANSPIRANTE AERO ANTIBACTERIAL REXONA X 150 C;35
240;DESODORANTES, REXONA;ANTITRANSPIRANTE AERO ANTIBACTERIAL REXONA X 90 G;35
241;DESODORANTES, PLUSBELLE;ANTITRANSPIRANTE AERO SIEM JOVEN PLUSBELLE X 210CC;34.99
242;DESODORANTES, HINDS;ANTITRANSPIRANTE ROLLON FLOWERS HINDS X 60 GRS;22.55
243;DESODORANTES, ETIQUET;ANTITRANSPIRANTE ROLLON HOMBRE ETIQUET X 60 GR;22.55
244;DESODORANTES, PLUSBELLE;ANTITRANSPIRANTE ROLLON SIEM JOVEN PLUSBELLE X50CC;21.34
245;DESODORANTES, NIVEA;ANTITRANSPIRTANTE FEM DRY NIVEA X 150 CC;38.2
246;DESODORANTES, NIVEA;ANTITRANSPIRTANTE MASC DRY IMPACT NIVEA X 150 CC;38.2
247;DESODORANTES, AXE;DESODORANTE BODYSPRAY BLACK NIGHT AXE X 150 CC;35
248;HIGIENE FEMENINA, ALWAYS;TOALLA FEMENINA PLUS SUAVE C/ALAS ALWAYS X 8 UNI;24.53
249;HISOPOS, Q-SOFT;HISOPOS Q SOFT ESTUCHE X 100 UNI;23.5
250;JABON DE TOCADOR, CAMPOS VERDES;JABON TOCADOR ENERGIA DE SOL CAMPOS VERDES X120GRS;8.85
251;JABON DE TOCADOR, KENIA;JABON TOCADOR GLICERINA KENIA 3 X 90 GRS;29.66
252;OLEO, BABYBASIC;OLEO CALCAREO S/FRAGANCIA BABYBASIC X 500 CC;61.97
253;PAÑUELOS, CAMPANITA;PANUELOS DESCARTABLES BOX CAMPANITA X 75 UNI;8.6
254;PASTA DENTAL, SENSODYNE;CREMA DENTAL MULTIPROTECCION SENSODYNE X 50 GR;36.49
255;PASTA DENTAL, KOLYNOS;CREMA DENTAL TRIPLE 1 2 3 KOLYNOS X 90 GRS;11.35
256;PASTA DENTAL, AQUA;CREMA DENTAL TRIPLE PROTECCION AQUAFRESH X 85G;35.12
257;PRESERVATIVOS, PRIME;PRESERVATIVO EXTRA LUBRICADO PRIME X 12 UNI;114.9
258;PRESERVATIVOS, PRIME;PRESERVATIVO SUPER FINO PRIME X 12 UNI;114.9
259;PRESERVATIVOS, TULIPAN;PRESERVATIVOS CLASSIC TULIPAN X 6 UNI;33.3
260;PRESERVATIVOS, TULIPAN;PRESERVATIVOS SUPER FINO TULIPAN X 6 UNI;33.3
261;PROTECTOR SOLAR, NIVEA;BLOQUEADOR SOLAR HIDRAT F30 NIVEA SUN X 200 CC;140.85
262;PROTECTOR SOLAR, NIVEA;PROTECTOR SOLAR HIDRATAN F15 NIVEA SUN X 200CC;124.9
263;REPELENTES, OFF;REPELENTE EN CREMA OFF X 200 GRS;43.99
264;SHAMPOO, PLUSBELLE;SHAMPOO BRILLO SUBLIME PLUSBELLE X 650 CC;55.99
265;SHAMPOO, DUC;SHAMPOO C/ EXT DE SEDA RIZOS PERFECTOS DUCX 350 CC;52.45
266;SHAMPOO, DUC;SHAMPOO C/ EXTR DE SEDA HIDRATA REVIT DUCX 350 CC;52.45
267;SHAMPOO, DUC;SHAMPOO C/ EXTRA DE SEDA LISO RADIANTE DUCX 350 CC;52.45
268;SHAMPOO, CLEAR;SHAMPOO CAIDA CONTROL CLEAR X 200 CC;46.63
269;SHAMPOO, CLEAR;SHAMPOO CAIDA DEFENSE CLEAR X 200 CC;46.63
